data;

param nu:=30;
param m:=100;
param n:=4;

param x: 1 2 3 4:=
1 0.231 0.585 0.787 0.675
2 0.714 0.839 0.165 0.887
3 0.457 0.452 0.624 0.663
4 0.430 0.670 0.312 0.796
5 0.312 0.254 0.339 0.466
6 0.320 0.653 0.110 0.041
7 0.649 0.064 0.396 0.970
8 0.690 0.202 0.637 0.476
9 0.460 0.424 0.684 0.779
10 0.885 0.046 0.230 0.089
11 0.746 0.862 0.570 0.228
12 0.221 0.109 0.807 0.113
13 0.032 0.145 0.810 0.722
14 0.276 0.848 0.242 0.758
15 0.462 0.673 0.263 0.798
16 0.446 0.570 0.438 0.904
17 0.161 0.241 0.084 0.187
18 0.841 0.768 0.270 0.429
19 0.316 0.065 0.873 0.659
20 0.975 0.341 0.016 0.637
21 0.798 0.807 0.876 0.595
22 0.417 0.486 0.186 0.251
23 0.860 0.305 0.337 0.289
24 0.709 0.553 0.122 0.131
25 0.965 0.073 0.097 0.905
26 0.612 0.948 0.354 0.020
27 0.876 0.385 0.182 0.115
28 0.174 0.855 0.644 0.730
29 0.382 0.158 0.065 0.645
30 0.377 0.758 0.073 0.997
31 0.962 0.882 0.050 0.578
32 0.349 0.039 0.510 0.225
33 0.113 0.745 0.596 0.266
34 0.416 0.091 0.479 0.310
35 0.407 0.963 0.831 0.339
36 0.782 0.827 0.968 0.153
37 0.398 0.218 0.729 0.587
38 0.449 0.008 0.205 0.100
39 0.771 0.280 0.085 0.663
40 0.268 0.954 0.941 0.835
41 0.323 0.278 0.994 0.620
42 0.879 0.604 0.576 0.071
43 0.054 0.070 0.883 0.501
44 0.873 0.226 0.503 0.089
45 0.479 0.581 0.625 0.548
46 0.870 0.878 0.614 0.592
47 0.890 0.213 0.743 0.317
48 0.588 0.685 0.989 0.020
49 0.279 0.424 0.630 0.150
50 0.387 0.743 0.640 0.013
51 0.646 0.551 0.810 0.173
52 0.385 0.558 0.784 0.779
53 0.074 0.010 0.119 0.442
54 0.226 0.075 0.756 0.356
55 0.850 0.235 0.931 0.123
56 0.969 0.134 0.313 0.713
57 0.741 0.327 0.796 0.817
58 0.553 0.205 0.981 0.021
59 0.842 0.389 0.793 0.427
60 0.996 0.227 0.275 0.801
61 0.877 0.163 0.025 0.478
62 0.995 0.771 0.328 0.682
63 0.066 0.868 0.772 0.634
64 0.048 0.390 0.632 0.795
65 0.285 0.307 0.377 0.422
66 0.816 0.327 0.604 0.017
67 0.897 0.396 0.648 0.054
68 0.132 0.522 0.409 0.957
69 0.876 0.439 0.055 0.785
70 0.198 0.616 0.209 0.437
71 0.421 0.857 0.848 0.657
72 0.008 0.034 0.817 0.809
73 0.669 0.772 0.121 0.800
74 0.168 0.921 0.716 0.453
75 0.062 0.031 0.374 0.918
76 0.094 0.232 0.742 0.798
77 0.029 0.951 0.906 0.171
78 0.195 0.387 0.525 0.869
79 0.474 0.548 0.060 0.665
80 0.268 0.062 0.121 0.286
81 0.814 0.254 0.537 0.136
82 0.997 0.733 0.350 0.419
83 0.597 0.343 0.333 0.424
84 0.311 0.886 0.245 0.765
85 0.566 0.624 0.964 0.996
86 0.584 0.255 0.844 0.035
87 0.287 0.395 0.117 0.331
88 0.301 0.436 0.519 0.707
89 0.427 0.563 0.409 0.405
90 0.062 0.523 0.122 0.385
91 0.420 0.033 0.048 0.114
92 0.722 0.611 0.706 0.960
93 0.914 0.416 0.636 0.180
94 0.245 0.684 0.486 0.845
95 0.888 0.584 0.649 0.189
96 0.574 0.261 0.187 0.082
97 0.229 0.080 0.946 0.941
98 0.589 0.772 0.108 0.560
99 0.378 0.650 0.629 0.397
100 0.274 0.626 0.273 0.540;

param y:=
1 1.0
2 1.0
3 1.0
4 1.0
5 -1.0
6 -1.0
7 1.0
8 1.0
9 1.0
10 -1.0
11 1.0
12 -1.0
13 -1.0
14 1.0
15 1.0
16 1.0
17 -1.0
18 1.0
19 -1.0
20 -1.0
21 1.0
22 -1.0
23 -1.0
24 -1.0
25 1.0
26 -1.0
27 1.0
28 1.0
29 -1.0
30 1.0
31 1.0
32 -1.0
33 -1.0
34 -1.0
35 1.0
36 -1.0
37 -1.0
38 -1.0
39 -1.0
40 1.0
41 1.0
42 1.0
43 -1.0
44 -1.0
45 1.0
46 1.0
47 1.0
48 1.0
49 -1.0
50 -1.0
51 -1.0
52 1.0
53 -1.0
54 -1.0
55 1.0
56 1.0
57 1.0
58 -1.0
59 1.0
60 1.0
61 -1.0
62 -1.0
63 1.0
64 -1.0
65 -1.0
66 -1.0
67 -1.0
68 1.0
69 1.0
70 -1.0
71 1.0
72 -1.0
73 -1.0
74 1.0
75 -1.0
76 -1.0
77 1.0
78 -1.0
79 -1.0
80 -1.0
81 -1.0
82 1.0
83 -1.0
84 1.0
85 1.0
86 -1.0
87 -1.0
88 -1.0
89 -1.0
90 -1.0
91 -1.0
92 1.0
93 1.0
94 1.0
95 1.0
96 1.0
97 1.0
98 -1.0
99 1.0
100 -1.0;
